,stripped_cell_line_name,wes_bam,wes_bai,wgs_bam,wgs_bai,rna_bam,rna_bai,hybrid_capture_bam,hybrid_capture_bai,targeted_bam,targeted_bai,raindance_bam,raindance_bai
ACH-000335,,,,gs://cclebams/wgs/G16452/MSTO-211H/v1/MSTO-211H.bam,gs://cclebams/wgs/G16452/MSTO-211H/v1/MSTO-211H.bai,gs://cclebams/rna/G25204.MSTO-211H.1.bam,gs://cclebams/rna/G25204.MSTO-211H.1.bai,gs://cclebams/hybrid_capture/MSTO211H_PLEURA.bam,gs://cclebams/hybrid_capture/MSTO211H_PLEURA.bai,,,gs://cclebams/raindance/G16640/MSTO-211H/current/MSTO-211H.bam,gs://cclebams/raindance/G16640/MSTO-211H/current/MSTO-211H.bai
ACH-000777,,gs://cclebams/wes/C836.KYSE-30.2.bam,gs://cclebams/wes/C836.KYSE-30.2.bai,gs://cclebams/wgs/G16407/KYSE-30/v1/KYSE-30.bam,gs://cclebams/wgs/G16407/KYSE-30/v1/KYSE-30.bai,gs://cclebams/rna/G41685.KYSE-30.5.bam,gs://cclebams/rna/G41685.KYSE-30.5.bai,gs://cclebams/hybrid_capture/KYSE30_OESOPHAGUS.bam,gs://cclebams/hybrid_capture/KYSE30_OESOPHAGUS.bai,,,gs://cclebams/raindance/G16640/KYSE-30/current/KYSE-30.bam,gs://cclebams/raindance/G16640/KYSE-30/current/KYSE-30.bai
ACH-001192,,,,,,gs://cclebams/rna/G77555.SK-NEP-1_01.bam,gs://cclebams/rna/G77555.SK-NEP-1_01.bai,,,,,,
ACH-000726,,gs://cclebams/wes/C836.TE-14.2.bam,gs://cclebams/wes/C836.TE-14.2.bai,,,gs://cclebams/rna/G30598.TE-14.1.bam,gs://cclebams/rna/G30598.TE-14.1.bai,gs://cclebams/hybrid_capture/TE14_OESOPHAGUS.bam,gs://cclebams/hybrid_capture/TE14_OESOPHAGUS.bai,,,gs://cclebams/raindance/G16640/TE-14/current/TE-14.bam,gs://cclebams/raindance/G16640/TE-14/current/TE-14.bai
ACH-000993,,gs://cclebams/wes/C836.JHUEM-7.1.bam,gs://cclebams/wes/C836.JHUEM-7.1.bai,,,gs://cclebams/rna/Getz_IBM_CellLines_RNASeqData_21samples_09222017/G28091/NA/JHUEM-7/v1/JHUEM-7.bam,gs://cclebams/rna/Getz_IBM_CellLines_RNASeqData_21samples_09222017/G28091/NA/JHUEM-7/v1/JHUEM-7.bai,gs://cclebams/hybrid_capture/JHUEM7_ENDOMETRIUM.bam,gs://cclebams/hybrid_capture/JHUEM7_ENDOMETRIUM.bai,,,gs://cclebams/raindance/G16640/JHUEM-7/current/JHUEM-7.bam,gs://cclebams/raindance/G16640/JHUEM-7/current/JHUEM-7.bai
ACH-000161,,,,,,gs://cclebams/rna/G27373.COR-L105.1.bam,gs://cclebams/rna/G27373.COR-L105.1.bai,gs://cclebams/hybrid_capture/COR-L105.bam,gs://cclebams/hybrid_capture/COR-L105.bai,gs://cclebams/targeted/C1926/COR-L105/current/COR-L105.bam,gs://cclebams/targeted/C1926/COR-L105/current/COR-L105.bai,,
ACH-000579,,,,gs://cclebams/wgs/G16472/UACC-257/v1/UACC-257.bam,gs://cclebams/wgs/G16472/UACC-257/v1/UACC-257.bai,gs://cclebams/rna/G27215.UACC-257.1.bam,gs://cclebams/rna/G27215.UACC-257.1.bai,gs://cclebams/hybrid_capture/UACC257_SKIN.bam,gs://cclebams/hybrid_capture/UACC257_SKIN.bai,,,gs://cclebams/raindance/G16640/UACC-257/current/UACC-257.bam,gs://cclebams/raindance/G16640/UACC-257/current/UACC-257.bai
ACH-001042,,,,,,,,gs://cclebams/hybrid_capture/COLO704_OVARY.bam,gs://cclebams/hybrid_capture/COLO704_OVARY.bai,,,,
ACH-000291,,gs://cclebams/wes/C836.OV-90.2.bam,gs://cclebams/wes/C836.OV-90.2.bai,gs://cclebams/wgs/G32831/OV-90/v2/OV-90.bam,gs://cclebams/wgs/G32831/OV-90/v2/OV-90.bai,gs://cclebams/rna/G27252.OV-90.1.bam,gs://cclebams/rna/G27252.OV-90.1.bai,gs://cclebams/hybrid_capture/OV90_OVARY.bam,gs://cclebams/hybrid_capture/OV90_OVARY.bai,,,gs://cclebams/raindance/G16640/OV-90/current/OV-90.bam,gs://cclebams/raindance/G16640/OV-90/current/OV-90.bai
ACH-000489,,,,,,gs://cclebams/rna/G30625.SW1116.1.bam,gs://cclebams/rna/G30625.SW1116.1.bai,gs://cclebams/hybrid_capture/SW1116_LARGE_INTESTINE.bam,gs://cclebams/hybrid_capture/SW1116_LARGE_INTESTINE.bai,gs://cclebams/targeted/C1926/SW1116/current/SW1116.bam,gs://cclebams/targeted/C1926/SW1116/current/SW1116.bai,gs://cclebams/raindance/G16640/SW1116/current/SW1116.bam,gs://cclebams/raindance/G16640/SW1116/current/SW1116.bai
ACH-000954,,,,gs://cclebams/wgs/G32831/HEC-1-A/v1/HEC-1-A.bam,gs://cclebams/wgs/G32831/HEC-1-A/v1/HEC-1-A.bai,gs://cclebams/rna/G26218.HEC-1-A.2.bam,gs://cclebams/rna/G26218.HEC-1-A.2.bai,gs://cclebams/hybrid_capture/HEC1A_ENDOMETRIUM.bam,gs://cclebams/hybrid_capture/HEC1A_ENDOMETRIUM.bai,,,gs://cclebams/raindance/G16640/HEC-1-A/current/HEC-1-A.bam,gs://cclebams/raindance/G16640/HEC-1-A/current/HEC-1-A.bai
ACH-000354,,,,gs://cclebams/wgs/G32831/Capan-1/v1/Capan-1.bam,gs://cclebams/wgs/G32831/Capan-1/v1/Capan-1.bai,gs://cclebams/rna/G27325.Capan-1.1.bam,gs://cclebams/rna/G27325.Capan-1.1.bai,gs://cclebams/hybrid_capture/CAPAN1_PANCREAS.bam,gs://cclebams/hybrid_capture/CAPAN1_PANCREAS.bai,,,gs://cclebams/raindance/G16640/Capan-1/current/Capan-1.bam,gs://cclebams/raindance/G16640/Capan-1/current/Capan-1.bai
ACH-000374,,gs://cclebams/wes/C836.HCC1143.2.bam,gs://cclebams/wes/C836.HCC1143.2.bai,,,gs://cclebams/rna/G20479.HCC1143.2.bam,gs://cclebams/rna/G20479.HCC1143.2.bai,gs://cclebams/hybrid_capture/HCC1143_BREAST.bam,gs://cclebams/hybrid_capture/HCC1143_BREAST.bai,,,gs://cclebams/raindance/G16640/HCC1143/current/HCC1143.bam,gs://cclebams/raindance/G16640/HCC1143/current/HCC1143.bai
ACH-000689,,,,,,gs://cclebams/rna/G27538.RH-18.2.bam,gs://cclebams/rna/G27538.RH-18.2.bai,gs://cclebams/hybrid_capture/RH-18.bam,gs://cclebams/hybrid_capture/RH-18.bai,,,gs://cclebams/raindance/G16640/RH-18/current/RH-18.bam,gs://cclebams/raindance/G16640/RH-18/current/RH-18.bai
ACH-001108,,,,,,,,gs://cclebams/hybrid_capture/KP1NL_PANCREAS.bam,gs://cclebams/hybrid_capture/KP1NL_PANCREAS.bai,,,,
ACH-000755,,,,,,gs://cclebams/rna/G41720.HCC2218.5.bam,gs://cclebams/rna/G41720.HCC2218.5.bai,gs://cclebams/hybrid_capture/HCC2218_BREAST.bam,gs://cclebams/hybrid_capture/HCC2218_BREAST.bai,,,gs://cclebams/raindance/G16640/HCC2218/current/HCC2218.bam,gs://cclebams/raindance/G16640/HCC2218/current/HCC2218.bai
ACH-000165,,gs://cclebams/wes/C836.Hs_751.T.2.bam,gs://cclebams/wes/C836.Hs_751.T.2.bai,,,gs://cclebams/rna/G28860/Hs_751.T/current/Hs_751.T.bam,gs://cclebams/rna/G28860/Hs_751.T/current/Hs_751.T.bai,gs://cclebams/hybrid_capture/HS751T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/HS751T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,,gs://cclebams/raindance/G16640/Hs_751.T/current/Hs_751.T.bam,gs://cclebams/raindance/G16640/Hs_751.T/current/Hs_751.T.bai
ACH-000560,,,,,,gs://cclebams/rna/G27350.ECC10.1.bam,gs://cclebams/rna/G27350.ECC10.1.bai,gs://cclebams/hybrid_capture/ECC10_STOMACH.bam,gs://cclebams/hybrid_capture/ECC10_STOMACH.bai,gs://cclebams/targeted/C1926/ECC10/current/ECC10.bam,gs://cclebams/targeted/C1926/ECC10/current/ECC10.bai,gs://cclebams/raindance/G16640/ECC10/current/ECC10.bam,gs://cclebams/raindance/G16640/ECC10/current/ECC10.bai
ACH-000923,,,,,,gs://cclebams/rna/G27358.BCP-1.1.bam,gs://cclebams/rna/G27358.BCP-1.1.bai,gs://cclebams/hybrid_capture/BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,,gs://cclebams/raindance/G16640/BCP-1/current/BCP-1.bam,gs://cclebams/raindance/G16640/BCP-1/current/BCP-1.bai
ACH-000929,,,,,,gs://cclebams/rna/G28608.NCI-H2110.1.bam,gs://cclebams/rna/G28608.NCI-H2110.1.bai,gs://cclebams/hybrid_capture/NCIH2110_LUNG.bam,gs://cclebams/hybrid_capture/NCIH2110_LUNG.bai,gs://cclebams/targeted/C1926/NCI-H2110/current/NCI-H2110.bam,gs://cclebams/targeted/C1926/NCI-H2110/current/NCI-H2110.bai,gs://cclebams/raindance/G16640/NCI-H2110/current/NCI-H2110.bam,gs://cclebams/raindance/G16640/NCI-H2110/current/NCI-H2110.bai
ACH-000824,,,,,,gs://cclebams/rna/G41682.KYSE-510.5.bam,gs://cclebams/rna/G41682.KYSE-510.5.bai,gs://cclebams/hybrid_capture/KYSE510_OESOPHAGUS.bam,gs://cclebams/hybrid_capture/KYSE510_OESOPHAGUS.bai,,,gs://cclebams/raindance/G16640/KYSE-510/current/KYSE-510.bam,gs://cclebams/raindance/G16640/KYSE-510/current/KYSE-510.bai
ACH-000001,,,,gs://cclebams/wgs/G32831/NIH_OVCAR-3/v2/NIH_OVCAR-3.bam,gs://cclebams/wgs/G32831/NIH_OVCAR-3/v2/NIH_OVCAR-3.bai,gs://cclebams/rna/G26222.NIH_OVCAR-3.2.bam,gs://cclebams/rna/G26222.NIH_OVCAR-3.2.bai,gs://cclebams/hybrid_capture/NIHOVCAR3_OVARY.bam,gs://cclebams/hybrid_capture/NIHOVCAR3_OVARY.bai,,,gs://cclebams/raindance/G16640/NIH_OVCAR-3/current/NIH_OVCAR-3.bam,gs://cclebams/raindance/G16640/NIH_OVCAR-3/current/NIH_OVCAR-3.bai
ACH-000058,,,,,,gs://cclebams/rna/G28541.ML-1.1.bam,gs://cclebams/rna/G28541.ML-1.1.bai,gs://cclebams/hybrid_capture/ML1_THYROID.bam,gs://cclebams/hybrid_capture/ML1_THYROID.bai,,,gs://cclebams/raindance/G16640/ML-1/current/ML-1.bam,gs://cclebams/raindance/G16640/ML-1/current/ML-1.bai
ACH-000044,,,,gs://cclebams/wgs/G32831/MDA-MB-134-VI/v1/MDA-MB-134-VI.bam,gs://cclebams/wgs/G32831/MDA-MB-134-VI/v1/MDA-MB-134-VI.bai,gs://cclebams/rna/G28035.MDA-MB-134-VI.1.bam,gs://cclebams/rna/G28035.MDA-MB-134-VI.1.bai,gs://cclebams/hybrid_capture/MDAMB134VI_BREAST.bam,gs://cclebams/hybrid_capture/MDAMB134VI_BREAST.bai,,,gs://cclebams/raindance/G16640/MDA-MB-134-VI/current/MDA-MB-134-VI.bam,gs://cclebams/raindance/G16640/MDA-MB-134-VI/current/MDA-MB-134-VI.bai
ACH-000254,,,,,,gs://cclebams/rna/G27480.SCC-15.2.bam,gs://cclebams/rna/G27480.SCC-15.2.bai,gs://cclebams/hybrid_capture/SCC15_UPPER_AERODIGESTIVE_TRACT.bam,gs://cclebams/hybrid_capture/SCC15_UPPER_AERODIGESTIVE_TRACT.bai,,,gs://cclebams/raindance/G16640/SCC-15/current/SCC-15.bam,gs://cclebams/raindance/G16640/SCC-15/current/SCC-15.bai
ACH-001230,,,,,,,,gs://cclebams/hybrid_capture/UT7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/UT7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,,,
ACH-000633,,,,gs://cclebams/wgs/G16466/FU97/v1/FU97.bam,gs://cclebams/wgs/G16466/FU97/v1/FU97.bai,gs://cclebams/rna/G20485.FU97.2.bam,gs://cclebams/rna/G20485.FU97.2.bai,gs://cclebams/hybrid_capture/FU97_STOMACH.bam,gs://cclebams/hybrid_capture/FU97_STOMACH.bai,,,gs://cclebams/raindance/G16640/FU97/current/FU97.bam,gs://cclebams/raindance/G16640/FU97/current/FU97.bai
ACH-000590,,gs://cclebams/wes/C836.NCI-H2073.1.bam,gs://cclebams/wes/C836.NCI-H2073.1.bai,,,gs://cclebams/rna/G28619.NCI-H2073.1.bam,gs://cclebams/rna/G28619.NCI-H2073.1.bai,gs://cclebams/hybrid_capture/NCIH2073_LUNG.bam,gs://cclebams/hybrid_capture/NCIH2073_LUNG.bai,gs://cclebams/targeted/C1926/NCI-H2073/current/NCI-H2073.bam,gs://cclebams/targeted/C1926/NCI-H2073/current/NCI-H2073.bai,gs://cclebams/raindance/G16640/NCI-H2073/current/NCI-H2073.bam,gs://cclebams/raindance/G16640/NCI-H2073/current/NCI-H2073.bai
ACH-000531,,gs://cclebams/wes/C836.RS-5.1.bam,gs://cclebams/wes/C836.RS-5.1.bai,,,gs://cclebams/rna/G27536.RS-5.2.bam,gs://cclebams/rna/G27536.RS-5.2.bai,gs://cclebams/hybrid_capture/RS5_PLEURA.bam,gs://cclebams/hybrid_capture/RS5_PLEURA.bai,gs://cclebams/targeted/C1926/RS-5/current/RS-5.bam,gs://cclebams/targeted/C1926/RS-5/current/RS-5.bai,,
ACH-000801,,gs://cclebams/wes/C836.Hs_936.T.2.bam,gs://cclebams/wes/C836.Hs_936.T.2.bai,,,gs://cclebams/rna/G41731.Hs_936.T.5.bam,gs://cclebams/rna/G41731.Hs_936.T.5.bai,gs://cclebams/hybrid_capture/HS936T_SKIN.bam,gs://cclebams/hybrid_capture/HS936T_SKIN.bai,,,gs://cclebams/raindance/G16640/Hs_936.T/current/Hs_936.T.bam,gs://cclebams/raindance/G16640/Hs_936.T/current/Hs_936.T.bai
ACH-000070,,,,,,gs://cclebams/rna/G26223.697.2.bam,gs://cclebams/rna/G26223.697.2.bai,gs://cclebams/hybrid_capture/697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,,gs://cclebams/raindance/G16640/697/current/697.bam,gs://cclebams/raindance/G16640/697/current/697.bai
ACH-000360,,,,gs://cclebams/wgs/G32831/NCI-H508/v1/NCI-H508.bam,gs://cclebams/wgs/G32831/NCI-H508/v1/NCI-H508.bai,gs://cclebams/rna/G26211.NCI-H508.2.bam,gs://cclebams/rna/G26211.NCI-H508.2.bai,gs://cclebams/hybrid_capture/NCIH508_LARGE_INTESTINE.bam,gs://cclebams/hybrid_capture/NCIH508_LARGE_INTESTINE.bai,,,gs://cclebams/raindance/G16640/NCI-H508/current/NCI-H508.bam,gs://cclebams/raindance/G16640/NCI-H508/current/NCI-H508.bai
ACH-001138,,,,,,,,gs://cclebams/hybrid_capture/NCIH2141_LUNG.bam,gs://cclebams/hybrid_capture/NCIH2141_LUNG.bai,,,,
ACH-000986,,,,gs://cclebams/wgs/G32831/HT115/v2/HT115.bam,gs://cclebams/wgs/G32831/HT115/v2/HT115.bai,gs://cclebams/rna/G41752.HT115.1.bam,gs://cclebams/rna/G41752.HT115.1.bai,gs://cclebams/hybrid_capture/HT115_LARGE_INTESTINE.bam,gs://cclebams/hybrid_capture/HT115_LARGE_INTESTINE.bai,,,gs://cclebams/raindance/G16640/HT115/current/HT115.bam,gs://cclebams/raindance/G16640/HT115/current/HT115.bai
ACH-001233,,,,,,,,gs://cclebams/hybrid_capture/VMRCLCD_LUNG.bam,gs://cclebams/hybrid_capture/VMRCLCD_LUNG.bai,,,,
ACH-000276,,,,gs://cclebams/wgs/G32831/HCC38/v1/HCC38.bam,gs://cclebams/wgs/G32831/HCC38/v1/HCC38.bai,gs://cclebams/rna/G28869.HCC38.3.bam,gs://cclebams/rna/G28869.HCC38.3.bai,gs://cclebams/hybrid_capture/HCC38_BREAST.bam,gs://cclebams/hybrid_capture/HCC38_BREAST.bai,,,gs://cclebams/raindance/G16640/HCC38/current/HCC38.bam,gs://cclebams/raindance/G16640/HCC38/current/HCC38.bai
ACH-001021,,,,,,,,gs://cclebams/hybrid_capture/C3A_LIVER.bam,gs://cclebams/hybrid_capture/C3A_LIVER.bai,,,,
ACH-000808,,gs://cclebams/wes/C836.HuH28.2.bam,gs://cclebams/wes/C836.HuH28.2.bai,,,gs://cclebams/rna/G28857.HuH28.bam,gs://cclebams/rna/G28857.HuH28.bai,gs://cclebams/hybrid_capture/HUH28_BILIARY_TRACT.bam,gs://cclebams/hybrid_capture/HUH28_BILIARY_TRACT.bai,,,gs://cclebams/raindance/G16640/HuH28/current/HuH28.bam,gs://cclebams/raindance/G16640/HuH28/current/HuH28.bai
ACH-000157,,,,,,gs://cclebams/rna/Getz_IBM_CellLines_RNASeq_13samples_11282017/G27240/NA/A4_Fuk/v1/A4_Fuk.bam,gs://cclebams/rna/Getz_IBM_CellLines_RNASeq_13samples_11282017/G27240/NA/A4_Fuk/v1/A4_Fuk.bai,gs://cclebams/hybrid_capture/A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,,,
ACH-000484,,,,,,gs://cclebams/rna/G30607.VMRC-RCW.1.bam,gs://cclebams/rna/G30607.VMRC-RCW.1.bai,gs://cclebams/hybrid_capture/VMRCRCW_KIDNEY.bam,gs://cclebams/hybrid_capture/VMRCRCW_KIDNEY.bai,,,gs://cclebams/raindance/G16640/VMRC-RCW/current/VMRC-RCW.bam,gs://cclebams/raindance/G16640/VMRC-RCW/current/VMRC-RCW.bai
ACH-000670,,,,gs://cclebams/wgs/G16357/SBC-5/v1/SBC-5.bam,gs://cclebams/wgs/G16357/SBC-5/v1/SBC-5.bai,gs://cclebams/rna/G27284.SBC-5.1.bam,gs://cclebams/rna/G27284.SBC-5.1.bai,gs://cclebams/hybrid_capture/SBC5_LUNG.bam,gs://cclebams/hybrid_capture/SBC5_LUNG.bai,,,gs://cclebams/raindance/G16640/SBC-5/current/SBC-5.bam,gs://cclebams/raindance/G16640/SBC-5/current/SBC-5.bai
ACH-000815,,,,,,gs://cclebams/rna/G28039.KM-H2.1.bam,gs://cclebams/rna/G28039.KM-H2.1.bai,gs://cclebams/hybrid_capture/KMH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/KMH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,,gs://cclebams/raindance/G16640/KM-H2/current/KM-H2.bam,gs://cclebams/raindance/G16640/KM-H2/current/KM-H2.bai
ACH-001214,,,,,,,,gs://cclebams/hybrid_capture/U138MG_CENTRAL_NERVOUS_SYSTEM.bam,gs://cclebams/hybrid_capture/U138MG_CENTRAL_NERVOUS_SYSTEM.bai,,,,
ACH-000978,,,,,,gs://cclebams/rna/G27326.EN.1.bam,gs://cclebams/rna/G27326.EN.1.bai,gs://cclebams/hybrid_capture/EN_ENDOMETRIUM.bam,gs://cclebams/hybrid_capture/EN_ENDOMETRIUM.bai,,,gs://cclebams/raindance/EN.bam,gs://cclebams/raindance/EN.bai
ACH-000800,,,,gs://cclebams/wgs/G16426/NCI-H446/v1/NCI-H446.bam,gs://cclebams/wgs/G16426/NCI-H446/v1/NCI-H446.bai,gs://cclebams/rna/Getz_IBM_CellLines_RNASeq_13samples_11282017/G41671/NA/NCI-H446/v5/NCI-H446.bam,gs://cclebams/rna/Getz_IBM_CellLines_RNASeq_13samples_11282017/G41671/NA/NCI-H446/v5/NCI-H446.bai,gs://cclebams/hybrid_capture/NCIH446_LUNG.bam,gs://cclebams/hybrid_capture/NCIH446_LUNG.bai,,,gs://cclebams/raindance/G16640/NCI-H446/current/NCI-H446.bam,gs://cclebams/raindance/G16640/NCI-H446/current/NCI-H446.bai
ACH-000965,,,,gs://cclebams/wgs/G32831/RL95-2/v1/RL95-2.bam,gs://cclebams/wgs/G32831/RL95-2/v1/RL95-2.bai,gs://cclebams/rna/G27455.RL95-2.2.bam,gs://cclebams/rna/G27455.RL95-2.2.bai,gs://cclebams/hybrid_capture/RL952_ENDOMETRIUM.bam,gs://cclebams/hybrid_capture/RL952_ENDOMETRIUM.bai,,,gs://cclebams/raindance/G16640/RL95-2/current/RL95-2.bam,gs://cclebams/raindance/G16640/RL95-2/current/RL95-2.bai
ACH-000920,,gs://cclebams/wes/C836.CML-T1.2.bam,gs://cclebams/wes/C836.CML-T1.2.bai,,,gs://cclebams/rna/G27344.CML-T1.1.bam,gs://cclebams/rna/G27344.CML-T1.1.bai,gs://cclebams/hybrid_capture/CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,,,
ACH-000556,,,,,,gs://cclebams/rna/G41791.SiHa.bam,gs://cclebams/rna/G41791.SiHa.bai,,,,,,
ACH-000231,,,,gs://cclebams/wgs/G32831/KALS-1/v1/KALS-1.bam,gs://cclebams/wgs/G32831/KALS-1/v1/KALS-1.bai,gs://cclebams/rna/G26172.KALS-1.2.bam,gs://cclebams/rna/G26172.KALS-1.2.bai,gs://cclebams/hybrid_capture/KALS1_CENTRAL_NERVOUS_SYSTEM.bam,gs://cclebams/hybrid_capture/KALS1_CENTRAL_NERVOUS_SYSTEM.bai,,,gs://cclebams/raindance/G16640/KALS-1/current/KALS-1.bam,gs://cclebams/raindance/G16640/KALS-1/current/KALS-1.bai
ACH-001146,,,,,,,,gs://cclebams/hybrid_capture/OCILY10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/OCILY10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,,,
ACH-000409,,gs://cclebams/wes/C836.OVSAHO.1.bam,gs://cclebams/wes/C836.OVSAHO.1.bai,gs://cclebams/wgs/G16443/OVSAHO/v1/OVSAHO.bam,gs://cclebams/wgs/G16443/OVSAHO/v1/OVSAHO.bai,gs://cclebams/rna/G27277.OVSAHO.1.bam,gs://cclebams/rna/G27277.OVSAHO.1.bai,gs://cclebams/hybrid_capture/OVSAHO_OVARY.bam,gs://cclebams/hybrid_capture/OVSAHO_OVARY.bai,,,,
ACH-000370,,gs://cclebams/wes/C836.SNU-626.1.bam,gs://cclebams/wes/C836.SNU-626.1.bai,,,gs://cclebams/rna/G27540.SNU-626.2.bam,gs://cclebams/rna/G27540.SNU-626.2.bai,gs://cclebams/hybrid_capture/SNU626_CENTRAL_NERVOUS_SYSTEM.bam,gs://cclebams/hybrid_capture/SNU626_CENTRAL_NERVOUS_SYSTEM.bai,,,gs://cclebams/raindance/G16640/SNU-626/current/SNU-626.bam,gs://cclebams/raindance/G16640/SNU-626/current/SNU-626.bai
ACH-000935,,,,,,gs://cclebams/rna/G28014.MDST8.1.bam,gs://cclebams/rna/G28014.MDST8.1.bai,gs://cclebams/hybrid_capture/MDST8_LARGE_INTESTINE.bam,gs://cclebams/hybrid_capture/MDST8_LARGE_INTESTINE.bai,gs://cclebams/targeted/C1926/MDST8/current/MDST8.bam,gs://cclebams/targeted/C1926/MDST8/current/MDST8.bai,gs://cclebams/raindance/G16640/MDST8/current/MDST8.bam,gs://cclebams/raindance/G16640/MDST8/current/MDST8.bai
ACH-000470,,,,,,gs://cclebams/rna/G30581.SW1463.1.bam,gs://cclebams/rna/G30581.SW1463.1.bai,gs://cclebams/hybrid_capture/SW1463_LARGE_INTESTINE.bam,gs://cclebams/hybrid_capture/SW1463_LARGE_INTESTINE.bai,gs://cclebams/targeted/C1926/SW1463/current/SW1463.bam,gs://cclebams/targeted/C1926/SW1463/current/SW1463.bai,gs://cclebams/raindance/G16640/SW1463/current/SW1463.bam,gs://cclebams/raindance/G16640/SW1463/current/SW1463.bai
ACH-000055,,,,,,gs://cclebams/rna/G27354.D283_Med.1.bam,gs://cclebams/rna/G27354.D283_Med.1.bai,gs://cclebams/hybrid_capture/D283_Med.bam,gs://cclebams/hybrid_capture/D283_Med.bai,,,gs://cclebams/raindance/G16640/D283_Med/current/D283_Med.bam,gs://cclebams/raindance/G16640/D283_Med/current/D283_Med.bai
ACH-000891,,gs://cclebams/wes/C836.HCC-1438.4.bam,gs://cclebams/wes/C836.HCC-1438.4.bai,,,gs://cclebams/rna/G27304.HCC-1438.1.bam,gs://cclebams/rna/G27304.HCC-1438.1.bai,gs://cclebams/hybrid_capture/HCC1438_LUNG.bam,gs://cclebams/hybrid_capture/HCC1438_LUNG.bai,gs://cclebams/targeted/C1926/HCC-1438/current/HCC-1438.bam,gs://cclebams/targeted/C1926/HCC-1438/current/HCC-1438.bam.bai,gs://cclebams/raindance/G16640/HCC-1438/current/HCC-1438.bam,gs://cclebams/raindance/G16640/HCC-1438/current/HCC-1438.bai
ACH-000234,,gs://cclebams/wes/ccle.wes.gdc/C836.Caki-2.2.bam,gs://cclebams/wes/ccle.wes.gdc/C836.Caki-2.2.bai,,,gs://cclebams/rna/G27336.Caki-2.1.bam,gs://cclebams/rna/G27336.Caki-2.1.bai,gs://cclebams/hybrid_capture/CAKI2_KIDNEY.bam,gs://cclebams/hybrid_capture/CAKI2_KIDNEY.bai,,,gs://cclebams/raindance/G16640/Caki-2/current/Caki-2.bam,gs://cclebams/raindance/G16640/Caki-2/current/Caki-2.bai
ACH-000618,,gs://cclebams/wes/C836.SNU-1041.2.bam,gs://cclebams/wes/C836.SNU-1041.2.bai,,,gs://cclebams/rna/G27532.SNU-1041.2.bam,gs://cclebams/rna/G27532.SNU-1041.2.bai,gs://cclebams/hybrid_capture/SNU1041_UPPER_AERODIGESTIVE_TRACT.bam,gs://cclebams/hybrid_capture/SNU1041_UPPER_AERODIGESTIVE_TRACT.bai,,,gs://cclebams/raindance/G16640/SNU-1041/current/SNU-1041.bam,gs://cclebams/raindance/G16640/SNU-1041/current/SNU-1041.bai
ACH-000834,,gs://cclebams/wes/C836.UM-UC-1.1.bam,gs://cclebams/wes/C836.UM-UC-1.1.bai,,,gs://cclebams/rna/G30611.UM-UC-1.1.bam,gs://cclebams/rna/G30611.UM-UC-1.1.bai,gs://cclebams/hybrid_capture/UMUC1_URINARY_TRACT.bam,gs://cclebams/hybrid_capture/UMUC1_URINARY_TRACT.bai,,,gs://cclebams/raindance/G16640/UM-UC-1/current/UM-UC-1.bam,gs://cclebams/raindance/G16640/UM-UC-1/current/UM-UC-1.bai
ACH-000328,,,,,,gs://cclebams/rna/G41754.LN-215.bam,gs://cclebams/rna/G41754.LN-215.bai,,,,,,
ACH-000543,,gs://cclebams/wes/C836.SNU-489.2.bam,gs://cclebams/wes/C836.SNU-489.2.bai,,,gs://cclebams/rna/G27462.SNU-489.2.bam,gs://cclebams/rna/G27462.SNU-489.2.bai,gs://cclebams/hybrid_capture/SNU489_CENTRAL_NERVOUS_SYSTEM.bam,gs://cclebams/hybrid_capture/SNU489_CENTRAL_NERVOUS_SYSTEM.bai,,,gs://cclebams/raindance/G16640/SNU-489/current/SNU-489.bam,gs://cclebams/raindance/G16640/SNU-489/current/SNU-489.bai
