Adult/Pediatric,Alias,CCLE Name,CCLF Age,CCLF Gender,CDDB Registration Id,COSMIC.ID,Cell Line Name,Comments,Date Created,Date Last Modified,ELN Pages,MTA Terms,Original Source,Part of Genentech Project (Y/N),Part of PRISM,Part of Project Drive,Past CCLE names,Primary Disease,Primary Hist,Primary/Metastasis,Program,Projects,PubID,RRID,Sample Collection Site,Sanger Model ID,Sharing Terms,Stripped Cell Line Name,Subtype,User Created,User Last Modified,WTSI Master Cell ID,arxspan_id,depmap_disease,depmap_disease_subtype,depmap_molecular_subtype,depmap_public_comments,depmap_tissue
Adult,,UPCISCC116_UPPER_AERODIGESTIVE_TRACT,47,Male,CDDB:156387,,UPCI-SCC-116,,08/25/2016 09:20:22 AM,11/19/2019 01:42:02 PM,[{'ACH-001698-00': []}],Yes,DSMZ,No,,,,Head and Neck Cancer,unknown,Primary,DMX,[],14735,,upper_aerodigestive_tract,,Broad Only (Broad employees in Broad buildings; no sharing with partner institutions); recognition to original institution and DSMZ as provider; do not change nomenclature format,UPCISCC116,Squamous Cell Carcinoma,Nicole Dabkowski,Emily Chambers,,ACH-001698,upper_aerodigestive_squamous,,,,upper_aerodigestive
Adult,,UPCISCC131_UPPER_AERODIGESTIVE_TRACT,73,Male,CDDB:156388,,UPCI-SCC-131,,08/25/2016 09:20:23 AM,11/19/2019 01:42:02 PM,[{'ACH-001699-00': []}],Yes,DSMZ,No,,,,Head and Neck Cancer,unknown,Primary,DMX,[],"14735,061",,upper_aerodigestive_tract,,Broad Only (Broad employees in Broad buildings; no sharing with partner institutions); recognition to original institution and DSMZ as provider; do not change nomenclature format,UPCISCC131,Squamous Cell Carcinoma,Nicole Dabkowski,Emily Chambers,,ACH-001699,upper_aerodigestive_squamous,,,,upper_aerodigestive
Adult,,UPCISCC172_UPPER_AERODIGESTIVE_TRACT,68,Male,CDDB:156389,,UPCI-SCC-172,,08/25/2016 09:20:24 AM,11/19/2019 01:42:02 PM,[{'ACH-001700-00': []}],Yes,DSMZ,No,,,,Head and Neck Cancer,unknown,Primary,DMX,[],,,upper_aerodigestive_tract,,Broad Only (Broad employees in Broad buildings; no sharing with partner institutions); recognition to original institution and DSMZ as provider; do not change nomenclature format,UPCISCC172,Squamous Cell Carcinoma,Nicole Dabkowski,Emily Chambers,,ACH-001700,upper_aerodigestive_squamous,,,,upper_aerodigestive
Adult,,UPCISCC200_UPPER_AERODIGESTIVE_TRACT,74,Male,CDDB:156390,,UPCI-SCC-200,,08/25/2016 09:20:25 AM,11/19/2019 01:42:02 PM,[{'ACH-001701-00': []}],Yes,DSMZ,No,,,,Head and Neck Cancer,unknown,Primary,DMX,[],15061,,upper_aerodigestive_tract,,Broad Only (Broad employees in Broad buildings; no sharing with partner institutions); recognition to original institution and DSMZ as provider; do not change nomenclature format,UPCISCC200,Squamous Cell Carcinoma,Nicole Dabkowski,Emily Chambers,,ACH-001701,upper_aerodigestive_squamous,,,,upper_aerodigestive
Adult,,VAESBJ_SOFT_TISSUE,41,Male,CDDB:153490,688121,VA-ES-BJ,"epithelioid sarcoma, derived from metastatic site: bone marrow",08/25/2016 09:20:26 AM,11/19/2019 01:42:02 PM,[{'ACH-001702-00': []}],Yes,ATCC,No,,,VAESBJ_BONE,Sarcoma,unknown,Metastasis,DMX,[],21552805,CVCL_1785,bone_marrow,SIDM01179,Broad Only (Broad employees in Broad buildings; no sharing with partner institutions),VAESBJ,Epithelioid,Nicole Dabkowski,Emily Chambers,1004,ACH-001702,epithelioid_sarcoma,,,,soft_tissue
Adult,,VAL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,50,Female,CDDB:153519,1331048,VAL,Bone Marrow metastatic site,08/25/2016 09:20:27 AM,11/19/2019 01:42:03 PM,[{'ACH-001703-00': []}],Yes,DSMZ,No,,,,Lymphoma,unknown,Metastasis,DMX,[],"14397,442,498,657",CVCL_1819,bone_marrow,SIDM00416,Broad Only (Broad employees in Broad buildings; no sharing with partner institutions); recognition to original institution and DSMZ as provider; do not change nomenclature format,VAL,Diffuse Large B-cell Lymphoma (DLBCL),Nicole Dabkowski,Emily Chambers,2221,ACH-001703,non_hodgkin_lymphoma,DLBCL,,,lymphocyte
Adult,,VMRCMELG_SKIN,,Male,CDDB:153701,930301,VMRC-MELG,Malignant melanoma,08/25/2016 09:20:28 AM,11/19/2019 01:42:03 PM,[{'ACH-001704-00': []}],Yes,JCRB,No,,,,Skin Cancer,unknown,Primary,DMX,[],,CVCL_1789,Colon,SIDM00319,Broad Only (Broad employees in Broad buildings; no sharing with partner institutions),VMRCMELG,Melanoma,Nicole Dabkowski,Emily Chambers,158,ACH-001704,melanoma,,,,skin
Adult,,VP267_BREAST,48,Female,CDDB:156391,,VP267,"Derived from a breast cancer biopsy removed from a 48 year-old female. The histology of the breast cancer biopsy was defined as Ductal Grade III, tumour cells did not stain positive for oestrogen receptors. The VP267 cell line was derived from the same in",08/25/2016 09:20:29 AM,11/19/2019 01:42:03 PM,[{'ACH-001705-00': []}],Yes,Sigma-Aldrich,No,,,,Breast Cancer,unknown,Primary,DMX,[],,,breast,,Broad Only (Broad employees in Broad buildings; no sharing with partner institutions),VP267,,Nicole Dabkowski,Emily Chambers,,ACH-001705,,,,,breast
Adult,,WAC3CD5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,Male,CDDB:156392,,WA-C3CD5+,"B-type chronic lymphocytic leukemia (CLL, Rai stage I at diagnosis)",08/25/2016 09:20:30 AM,11/19/2019 01:42:03 PM,[{'ACH-001706-00': []}],Yes,,No,,,WAC3CD5_HAEMATOPOIETIC_AND_LYMPHOID,Leukemia,unknown,Primary,DMX,[],"19334,172",,haematopoietic_and_lymphoid_tissue,,Broad Only (Broad employees in Broad buildings; no sharing with partner institutions); recognition to original institution and DSMZ as provider; do not change nomenclature format,WAC3CD5,"Chronic Lymphoblastic Leukemia (CLL), B-cell",Nicole Dabkowski,Emily Chambers,,ACH-001706,CLL,b_cell,,,blood
Adult,,WAOSEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,Male,CDDB:156393,,WA-OSEL,"B-type chronic lymphocytic leukemia (CLL, Rai stage I at diagnosis)",08/25/2016 09:20:31 AM,11/19/2019 01:42:03 PM,[{'ACH-001707-00': []}],Yes,DSMZ,No,,,WAOSEL_HAEMATOPOIETIC_AND_LYMPHOID,Leukemia,unknown,Primary,DMX,[],"19334,172",,haematopoietic_and_lymphoid_tissue,,Broad Only (Broad employees in Broad buildings; no sharing with partner institutions); recognition to original institution and DSMZ as provider; do not change nomenclature format,WAOSEL,"Chronic Lymphoblastic Leukemia (CLL), B-cell",Nicole Dabkowski,Emily Chambers,,ACH-001707,CLL,b_cell,,,blood
Adult,,WSUFSCCL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,37,Male,CDDB:156394,,WSU-FSCCL,,08/25/2016 09:20:32 AM,11/19/2019 01:42:04 PM,[{'ACH-001708-00': []}],Yes,DSMZ,Yes,,,WSUFSCCL_HAEMATOPOIETIC_AND_LYMPHOID,Lymphoma,unknown,Primary,DMX,[],"14969,774,775",,haematopoietic_and_lymphoid_tissue,,Broad Only (Broad employees in Broad buildings; no sharing with partner institutions); recognition to original institution and DSMZ as provider; do not change nomenclature format,WSUFSCCL,B-cell,Nicole Dabkowski,Emily Chambers,,ACH-001708,lymphoma_unspecified,b_cell,,,lymphocyte
Adult,,WSUNHL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,46,Female,CDDB:154306,909785,WSU-NHL,,08/25/2016 09:20:33 AM,11/19/2019 01:42:04 PM,[{'ACH-001709-00': []}],Yes,DSMZ,Yes,,,,Lymphoma,unknown,Primary,DMX,[],"14773,354",CVCL_1793,pleural_effusion,SIDM00412,Broad Only (Broad employees in Broad buildings; no sharing with partner institutions); recognition to original institution and DSMZ as provider; do not change nomenclature format,WSUNHL,B-cell,Nicole Dabkowski,Emily Chambers,601,ACH-001709,lymphoma_unspecified,b_cell,,,lymphocyte
Pediatric,,YNH1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,46,Male,CDDB:154903,,YNH-1,,08/25/2016 09:20:35 AM,11/19/2019 01:42:04 PM,[{'ACH-001710-00': []}],Yes,DSMZ,No,,,YNH1_HAEMATOPOIETIC_AND_LYMPHOID,Leukemia,unknown,Primary,DMX,[],"16260,261",,haematopoietic_and_lymphoid_tissue,,Broad Only (Broad employees in Broad buildings; no sharing with partner institutions); recognition to original institution and DSMZ as provider; do not change nomenclature format,YNH1,Acute Myelogenous Leukemia (AML),Nicole Dabkowski,Emily Chambers,,ACH-001710,AML,,,,blood
Pediatric,,PFSK1_CENTRAL_NERVOUS_SYSTEM,2,Male,CDDB:137386,683667,PFSK-1,,08/25/2016 09:20:36 AM,11/19/2019 01:42:04 PM,[{'ACH-001711-00': []}],Yes,ATCC,No,,,,Brain Cancer,unknown,Primary,DMX,[],,CVCL_1642,central_nervous_system,SIDM01132,Broad Only (Broad employees in Broad buildings; no sharing with partner institutions),PFSK1,Primitive Neuroectodermal Tumor (PNET),Nicole Dabkowski,Emily Chambers,1682,ACH-001711,PNET,,,,central_nervous_system
Pediatric,"HS-860, HS860",HS860T_BONE,22,Male,CDDB:156395,,Hs 860.T,"Received from Academic lab (Stegmaier, Broad)/ATCC",08/25/2016 09:42:35 AM,11/20/2019 04:54:48 PM,[{'ACH-001712-00': []}],-1,Academic lab,-1,-1,-1,HS860_BONE,Bone Cancer,osteosarcoma,,Appendix,[],,,bone,,,HS860T,Osteosarcoma,Nicole Dabkowski,Emily Chambers,,ACH-001712,osteosarcoma,,,,bone
Pediatric,"HS704T, HS-704",HS704_BONE,13,Female,CDDB:156396,,HS704,"Received from Academic lab (Stegmaier, Broad)/ATCC",08/25/2016 09:44:40 AM,11/20/2019 04:54:48 PM,[{'ACH-001713-00': []}],,Academic lab,-1,,,,Bone Cancer,osteosarcoma,,Appendix,[],,,bone,,,HS704,Osteosarcoma,Nicole Dabkowski,Emily Chambers,,ACH-001713,osteosarcoma,,,,bone
Pediatric,"HS-707, HS707AT, Hs707(A)T",HS707T_BONE,13,Male,CDDB:156397,,HS707,"Received from Academic lab (Stegmaier, Broad)/ATCC",08/25/2016 09:46:23 AM,11/20/2019 04:54:48 PM,[{'ACH-001714-00': []}],,Academic lab,-1,,,HS707_BONE,Bone Cancer,osteosarcoma,,Appendix,[],,,bone,,,HS707T,Osteosarcoma,Nicole Dabkowski,Emily Chambers,,ACH-001714,osteosarcoma,,,,bone
Pediatric,,CAL72_BONE,10,Male,CDDB:121077,906827,CAL-72,,08/25/2016 12:00:09 PM,11/19/2019 01:42:05 PM,[{'ACH-001715-00': []}],Yes,DSMZ,No,,,,Bone Cancer,unknown,,DMX,[],,CVCL_1113,bone,SIDM00930,Broad Only (Broad employees in Broad buildings; no sharing with partner institutions); recognition to original institution and DSMZ as provider; do not change nomenclature format,CAL72,Osteosarcoma,Nicole Dabkowski,Emily Chambers,550,ACH-001715,osteosarcoma,,,,bone
Pediatric,,GOTO_AUTONOMIC_GANGLIA,,Male,CDDB:127763,906875,GOTO,,08/25/2016 12:00:10 PM,11/19/2019 01:42:06 PM,[{'ACH-001716-00': []}],Yes,JCRB,No,,,,Neuroblastoma,unknown,,DMX,[],,CVCL_1234,autonomic_ganglia,SIDM00544,Broad Only (Broad employees in Broad buildings; no sharing with partner institutions),GOTO,,Nicole Dabkowski,Emily Chambers,1009,ACH-001716,neuroblastoma,,,,peripheral_nervous_system
Adult,,OCIC1P_OVARY,,Female,CDDB:156398,,OCI-C1P,Received from Academic lab (University of Miami),08/30/2016 01:18:28 PM,11/20/2019 04:54:48 PM,[{'ACH-001717-00': []}],Yes,Academic lab,No,,,,Ovarian Cancer,carcinoma,Primary,DMX,[],,,ovary,,Can share under supervision of Jesse (DepMap project); must report to them if we change media of lines; co-authorship if publishing unpublished lines; ackowledement as source if already published line,OCIC1P,Carcinoma,Nicole Dabkowski,Emily Chambers,,ACH-001717,ovary_carcinoma,,,,ovary
Adult,,OCIC2P_OVARY,,Female,CDDB:156399,,OCI-C2P,Requires hypoxic conditions,08/30/2016 01:18:29 PM,11/19/2019 01:42:06 PM,[{'ACH-001718-00': []}],Yes,,No,,,,Ovarian Cancer,carcinoma,Primary,DMX,[],,,ovary,,Can share under supervision of Jesse (DepMap project); must report to them if we change media of lines; co-authorship if publishing unpublished lines; ackowledement as source if already published line,OCIC2P,Carcinoma,Nicole Dabkowski,Emily Chambers,,ACH-001718,ovary_carcinoma,,,,ovary
Adult,,OCIC4P_OVARY,,Female,CDDB:156400,,OCI-C4P,Received from Academic lab (University of Miami),08/30/2016 01:18:30 PM,11/20/2019 04:54:49 PM,[{'ACH-001719-00': []}],Yes,Academic lab,No,,,,Ovarian Cancer,carcinoma,Primary,DMX,[],,,ovary,,Can share under supervision of Jesse (DepMap project); must report to them if we change media of lines; co-authorship if publishing unpublished lines; ackowledement as source if already published line,OCIC4P,"Adenocarcinoma, clear cell",Nicole Dabkowski,Emily Chambers,,ACH-001719,ovary_adenocarcinoma,clear_cell,,,ovary
Adult,,OCIP1A_OVARY,,Female,CDDB:156401,,OCI-P1A,Requires hypoxic conditions,08/30/2016 01:18:31 PM,11/19/2019 01:42:06 PM,[{'ACH-001720-00': []}],Yes,,No,,,,Ovarian Cancer,carcinoma,Primary,DMX,[],,,ascites,,Can share under supervision of Jesse (DepMap project); must report to them if we change media of lines; co-authorship if publishing unpublished lines; ackowledement as source if already published line,OCIP1A,Carcinoma,Nicole Dabkowski,Emily Chambers,,ACH-001720,ovary_carcinoma,,,,ovary
Adult,,OCIP2A_OVARY,,Female,CDDB:156402,,OCI-P2A,Requires hypoxic conditions; Received from Academic lab (University of Miami),08/30/2016 01:18:32 PM,11/20/2019 04:54:49 PM,[{'ACH-001721-00': []}],Yes,Academic lab,No,,,,Ovarian Cancer,carcinoma,Primary,DMX,[],,,ascites,,Can share under supervision of Jesse (DepMap project); must report to them if we change media of lines; co-authorship if publishing unpublished lines; ackowledement as source if already published line,OCIP2A,Carcinoma,Nicole Dabkowski,Emily Chambers,,ACH-001721,ovary_carcinoma,,,,ovary
Adult,,OCIP7A_OVARY,,Female,CDDB:156403,,OCI-P7A,Requires hypoxic conditions; Received from Academic lab (University of Miami),08/30/2016 01:18:33 PM,11/20/2019 04:54:49 PM,[{'ACH-001722-00': []}],Yes,Academic lab,No,,,,Ovarian Cancer,carcinoma,Primary,DMX,[],,,ascites,,Can share under supervision of Jesse (DepMap project); must report to them if we change media of lines; co-authorship if publishing unpublished lines; ackowledement as source if already published line,OCIP7A,Carcinoma,Nicole Dabkowski,Emily Chambers,,ACH-001722,ovary_carcinoma,,,,ovary
Adult,,OCID1P_OVARY,,Female,CDDB:156404,,OCI-D1P,,08/30/2016 01:18:34 PM,11/19/2019 01:42:07 PM,[{'ACH-001723-00': []}],Yes,,No,,,,Ovarian Cancer,carcinoma,Primary,DMX,[],,,ovary,,Can share under supervision of Jesse (DepMap project); must report to them if we change media of lines; co-authorship if publishing unpublished lines; ackowledement as source if already published line,OCID1P,Carcinoma,Nicole Dabkowski,Emily Chambers,,ACH-001723,ovary_carcinoma,,,,ovary
Adult,,OCICSP_OVARY,,Female,CDDB:156405,,OCI-CSP,,08/30/2016 01:18:35 PM,11/19/2019 01:42:07 PM,[{'ACH-001724-00': []}],Yes,,No,,,,Ovarian Cancer,carcinoma,Primary,DMX,[],,,ovary,,Can share under supervision of Jesse (DepMap project); must report to them if we change media of lines; co-authorship if publishing unpublished lines; ackowledement as source if already published line,OCICSP,Carcinoma,Nicole Dabkowski,Emily Chambers,,ACH-001724,ovary_carcinoma,,,,ovary
Adult,,OCIU1A_OVARY,,Female,CDDB:156406,,OCI-U1A,Received from Academic lab (University of Miami),08/30/2016 01:18:36 PM,11/20/2019 04:54:49 PM,[{'ACH-001725-00': []}],Yes,Academic lab,No,,,,Ovarian Cancer,carcinoma,Primary,DMX,[],,,ascites,,Can share under supervision of Jesse (DepMap project); must report to them if we change media of lines; co-authorship if publishing unpublished lines; ackowledement as source if already published line,OCIU1A,Carcinoma,Nicole Dabkowski,Emily Chambers,,ACH-001725,ovary_carcinoma,,,,ovary
Adult,,OCIE1P_OVARY,,Female,CDDB:156407,,OCI-E1P,Requires hypoxic conditions,08/30/2016 01:18:37 PM,11/19/2019 01:42:08 PM,[{'ACH-001726-00': []}],Yes,,No,,,,Ovarian Cancer,carcinoma,Primary,DMX,[],,,ovary,,Can share under supervision of Jesse (DepMap project); must report to them if we change media of lines; co-authorship if publishing unpublished lines; ackowledement as source if already published line,OCIE1P,Carcinoma,Nicole Dabkowski,Emily Chambers,,ACH-001726,ovary_carcinoma,,,,ovary
Adult,,OCIEP1P_OVARY,,Female,CDDB:156408,,OCI-EP1P,Requires hypoxic conditions,08/30/2016 01:18:38 PM,11/19/2019 01:42:08 PM,[{'ACH-001727-00': []}],Yes,,No,,,,Ovarian Cancer,carcinoma,Primary,DMX,[],,,ovary,,Can share under supervision of Jesse (DepMap project); must report to them if we change media of lines; co-authorship if publishing unpublished lines; ackowledement as source if already published line,OCIEP1P,Carcinoma,Nicole Dabkowski,Emily Chambers,,ACH-001727,ovary_carcinoma,,,,ovary
Adult,,OCIM1P_OVARY,,Female,CDDB:156409,,OCI-M1P,Requires hypoxic conditions,08/30/2016 01:18:39 PM,11/19/2019 01:42:08 PM,[{'ACH-001728-00': []}],Yes,,No,,,,Ovarian Cancer,carcinoma,Primary,DMX,[],,,ovary,,Can share under supervision of Jesse (DepMap project); must report to them if we change media of lines; co-authorship if publishing unpublished lines; ackowledement as source if already published line,OCIM1P,Carcinoma,Nicole Dabkowski,Emily Chambers,,ACH-001728,ovary_carcinoma,,,,ovary
Adult,,OCIE3X_OVARY,,Female,CDDB:156410,,OCI-E3X,Requires hypoxic conditions,08/30/2016 01:18:40 PM,11/19/2019 01:42:08 PM,[{'ACH-001729-00': []}],Yes,,No,,,,Ovarian Cancer,carcinoma,Primary,DMX,[],,,ovary,,Can share under supervision of Jesse (DepMap project); must report to them if we change media of lines; co-authorship if publishing unpublished lines; ackowledement as source if already published line,OCIE3X,Carcinoma,Nicole Dabkowski,Emily Chambers,,ACH-001729,ovary_carcinoma,,,,ovary
Adult,,OCIP9A2_OVARY,,Female,CDDB:156411,,OCI-P9A2,Received from Academic lab (University of Miami),08/30/2016 01:18:41 PM,11/20/2019 04:54:49 PM,[{'ACH-001730-00': []}],Yes,Academic lab,No,,,,Ovarian Cancer,carcinoma,Primary,DMX,[],,,ascites,,Can share under supervision of Jesse (DepMap project); must report to them if we change media of lines; co-authorship if publishing unpublished lines; ackowledement as source if already published line,OCIP9A2,Carcinoma,Nicole Dabkowski,Emily Chambers,,ACH-001730,ovary_carcinoma,,,,ovary
Adult,,FCIP1P_OVARY,,Female,CDDB:156412,,FCI-P1P,Requires hypoxic conditions,08/30/2016 01:18:42 PM,11/19/2019 01:42:09 PM,[{'ACH-001731-00': []}],Yes,,No,,,,Ovarian Cancer,carcinoma,Primary,DMX,[],,,ovary,,Can share under supervision of Jesse (DepMap project); must report to them if we change media of lines; co-authorship if publishing unpublished lines; ackowledement as source if already published line,FCIP1P,Carcinoma,Nicole Dabkowski,Emily Chambers,,ACH-001731,ovary_carcinoma,,,,ovary
Adult,,FCIP2P_OVARY,,Female,CDDB:156413,,FCI-P2P,Received from Academic lab (University of Miami),08/30/2016 01:18:43 PM,11/20/2019 04:54:49 PM,[{'ACH-001732-00': []}],Yes,Academic lab,No,,,,Ovarian Cancer,carcinoma,Primary,DMX,[],,,ovary,,Can share under supervision of Jesse (DepMap project); must report to them if we change media of lines; co-authorship if publishing unpublished lines; ackowledement as source if already published line,FCIP2P,Carcinoma,Nicole Dabkowski,Emily Chambers,,ACH-001732,ovary_carcinoma,,,,ovary
Pediatric,SNUATRT1,SNUATRT1_CENTRAL_NERVOUS_SYSTEM,,Unknown,CDDB:156414,,SNU-ATRT-1,"brain-derived rhabdoid line; Received from Academic lab (Roberts, St. Jude&#39;s Hospital)",09/16/2016 10:09:10 AM,11/21/2019 11:49:45 AM,[{'ACH-001733-00': []}],,Academic lab,-1,,,,Rhabdoid,rhabdoid_tumor,,Appendix,[],,,central_nervous_system,,,SNUATRT1,Atypical Teratoid Rhabdoid Tumor (ATRT),Nicole Dabkowski,Emily Chambers,,ACH-001733,ATRT,,,,central_nervous_system
Pediatric,SNUATRT5,SNUATRT5_CENTRAL_NERVOUS_SYSTEM,,Unknown,CDDB:156415,,SNU-ATRT-5,"brain-derived rhabdoid line; Received from Academic lab (Roberts, St. Jude&#39;s Hospital)",09/16/2016 10:10:18 AM,11/21/2019 11:49:46 AM,[{'ACH-001734-00': []}],,Academic lab,-1,,,,Rhabdoid,rhabdoid_tumor,,Appendix,[],,,central_nervous_system,,,SNUATRT5,Atypical Teratoid Rhabdoid Tumor (ATRT),Nicole Dabkowski,Emily Chambers,,ACH-001734,ATRT,,,,central_nervous_system
Pediatric,,SEMK2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,5,Female,CDDB:156416,,SEMK2,"Received from Academic lab (Pikman, DFCI)",09/23/2016 12:13:39 PM,11/20/2019 04:54:50 PM,[{'ACH-001735-00': []}],,Academic lab,-1,,,,Leukemia,haematopoietic_neoplasm,,Achilles,[],,CVCL_S906,haematopoietic_and_lymphoid_tissue,,,SEMK2,"Acute Lymphoblastic Leukemia (ALL), B-cell",Nicole Dabkowski,Emily Chambers,,ACH-001735,ALL,b_cell,,,blood
Pediatric,,HB1119_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,Unknown,CDDB:156417,,HB1119,"Received from Academic lab (Pikman, DFCI)",09/23/2016 12:16:34 PM,11/21/2019 11:49:46 AM,[{'ACH-001736-00': []}],,Academic lab,-1,,,,Leukemia,haematopoietic_neoplasm,,Achilles,[],,CVCL_8227,haematopoietic_and_lymphoid_tissue,,,HB1119,"Acute Lymphoblastic Leukemia (ALL), B-cell",Nicole Dabkowski,Emily Chambers,,ACH-001736,ALL,b_cell,,,blood
Pediatric,,HSB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,11,Unknown,CDDB:129266,,HSB2,"Received from Academic lab (Stegmaier, Broad)",11/16/2016 03:10:26 PM,11/21/2019 11:49:46 AM,[{'ACH-001737-00': []}],,Academic lab,-1,,,,Leukemia,haematopoietic_neoplasm,,Achilles,[],,CVCL_1859,haematopoietic_and_lymphoid_tissue,,,HSB2,"Acute Lymphoblastic Leukemia (ALL), T-cell",Nicole Dabkowski,Emily Chambers,,ACH-001737,ALL,t_cell,,,blood
Pediatric,,CCRFCEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,Female,CDDB:000133,905952,CCRF-CEM,"Several derivitive lines have been generated inluding: CEM-AG, AGR-ON, CEMC1, CEMC2 (ATCC).; Received from Kim Stegmaier, Broad",11/22/2016 12:27:27 PM,11/20/2019 04:54:50 PM,[{'ACH-001738-00': []}],,Academic lab,-1,,,,Leukemia,haematopoietic_neoplasm,,-1,[],,CVCL_0207,haematopoietic_and_lymphoid_tissue,SIDM00121,,CCRFCEM,"Acute Lymphoblastic Leukemia (ALL), T-cell",Nicole Dabkowski,Emily Chambers,1151,ACH-001738,ALL,t_cell,,,blood
Pediatric,,RH28_SOFT_TISSUE,17,Male,CDDB:000974,,RH28,"Received from Academic lab (Schaefer, University of Zurich)",12/09/2016 02:12:54 PM,11/20/2019 04:54:50 PM,[{'ACH-001740-00': []}],No,Academic lab,-1,PRN300,,,Sarcoma,rhabdomyosarcoma,Metastasis,DMX,[],,CVCL_8752,lymph_node,,n/a,RH28,"Rhabdomyosarcoma, alveolar",Jennifer Roth,Emily Chambers,,ACH-001740,rhabdomyosarcoma,alveolar,,,soft_tissue
Pediatric,,RMS13_SOFT_TISSUE,,Unknown,CDDB:156118,,RMS13,"Received from Academic lab (Schaefer, University of Zurich)",12/09/2016 02:12:55 PM,11/21/2019 11:49:46 AM,[{'ACH-001741-00': []}],No,Academic lab,,,,,Sarcoma,rhabdomyosarcoma,,DMX,[],,CVCL_UF98,soft_tissue,,n/a,RMS13,"Rhabdomyosarcoma, alveolar",Jennifer Roth,Emily Chambers,,ACH-001741,rhabdomyosarcoma,alveolar,,,soft_tissue
Pediatric,,RMS_SOFT_TISSUE,,Unknown,CDDB:156418,,RMS,"PAX3/FKHR; Received from Academic lab (Schaefer, University of Zurich)",12/09/2016 02:12:56 PM,11/21/2019 11:49:46 AM,[{'ACH-001742-00': []}],No,Academic lab,,,,,Sarcoma,rhabdomyosarcoma,Metastasis,DMX,[],,,soft_tissue,,n/a,RMS,"Rhabdomyosarcoma, alveolar",Jennifer Roth,Emily Chambers,,ACH-001742,rhabdomyosarcoma,alveolar,PAX3_FKHR,,soft_tissue
Pediatric,,RC2_SOFT_TISSUE,,Unknown,CDDB:156110,,RC2,"PAX7/FKHR; Received from Academic lab (Schaefer, University of Zurich)",12/09/2016 02:12:58 PM,11/21/2019 11:49:46 AM,[{'ACH-001743-00': []}],No,Academic lab,-1,,,,Sarcoma,rhabdomyosarcoma,Metastasis,DMX,[],,CVCL_L510,soft_tissue,,n/a,RC2,"Rhabdomyosarcoma, alveolar",Jennifer Roth,Emily Chambers,,ACH-001743,rhabdomyosarcoma,alveolar,PAX3_FKHR,,soft_tissue
Pediatric,,NRS1_SOFT_TISSUE,,Unknown,CDDB:156419,,NRS-1,PAX3/FKHR,12/09/2016 02:12:58 PM,11/21/2019 11:49:46 AM,[{'ACH-001744-00': []}],No,RIKEN,,,,,Sarcoma,rhabdomyosarcoma,,DMX,[],,,soft_tissue,,n/a,NRS1,"Rhabdomyosarcoma, alveolar",Jennifer Roth,Emily Chambers,,ACH-001744,rhabdomyosarcoma,alveolar,PAX3_FKHR,,soft_tissue
Pediatric,,RHJT_SOFT_TISSUE,,Unknown,CDDB:156117,,RhJT,"Received from Academic lab (Schaefer, University of Zurich)",12/09/2016 02:13:00 PM,11/21/2019 11:49:47 AM,[{'ACH-001745-00': []}],No,Academic lab,,PRN300,,,Sarcoma,rhabdomyosarcoma,,DMX,[],,CVCL_VU81,soft_tissue,,n/a,RHJT,"Rhabdomyosarcoma, alveolar",Jennifer Roth,Emily Chambers,,ACH-001745,rhabdomyosarcoma,alveolar,,,soft_tissue
Pediatric,,NUTOS_SOFT_TISSUE,,Unknown,CDDB:156420,,NUTOS,"PAX3/FKHR; Received from Academic lab (Ishikawa , Laboratory of Regenerative Medical Sciences, School of Life Dentistry at Tokyo, The Nippon Dental University)",12/09/2016 02:13:01 PM,11/21/2019 11:49:47 AM,[{'ACH-001746-00': []}],No,Academic lab,-1,,,,Sarcoma,rhabdomyosarcoma,Metastasis,DMX,[],,,soft_tissue,,n/a,NUTOS,"Rhabdomyosarcoma, alveolar",Jennifer Roth,Emily Chambers,,ACH-001746,rhabdomyosarcoma,alveolar,PAX3_FKHR,,soft_tissue
Pediatric,,RUCH2_SOFT_TISSUE,,Unknown,CDDB:138618,,Ruch-2,"Received from Academic lab (Schaefer, University of Zurich)",12/09/2016 02:13:02 PM,11/21/2019 11:49:47 AM,[{'ACH-001747-00': []}],No,Academic lab,,,,,Sarcoma,rhabdomyosarcoma,,DMX,[],,,soft_tissue,,n/a,RUCH2,"Rhabdomyosarcoma, embryonal",Jennifer Roth,Emily Chambers,,ACH-001747,rhabdomyosarcoma,embryonal,,,soft_tissue
